meeting_id,reference_words,whisper_words,wer,wer_percent
ES2004a,2653,2131,0.30719939690915943,30.719939690915943
ES2004b,6874,5587,0.28338667442537097,28.338667442537098
ES2004c,7084,5835,0.24816487859966121,24.81648785996612
ES2004d,6204,4982,0.32898130238555773,32.89813023855577
ES2005a,764,694,0.38350785340314136,38.35078534031414
ES2005b,6297,4934,0.31935842464665715,31.935842464665715
ES2005c,6802,5340,0.3234342840341076,32.34342840341076
ES2006a,2806,2326,0.20990734141126158,20.990734141126158
ES2006b,6277,5057,0.26238649036163775,26.238649036163775
ES2008a,2541,2161,0.2778433687524597,27.78433687524597
