meeting_id,rouge1,rouge2,rougeL
ES2004a,0.2247191011235955,0.022641509433962266,0.12734082397003746
ES2004b,0.16707616707616707,0.014814814814814817,0.1031941031941032
ES2004c,0.2142857142857143,0.023952095808383235,0.13095238095238096
ES2004d,0.17577197149643706,0.023866348448687354,0.0997624703087886
ES2005a,0.19487179487179487,0.010362694300518135,0.13333333333333336
ES2005b,0.23822714681440446,0.08913649025069638,0.14958448753462605
ES2005c,0.21354166666666669,0.05235602094240837,0.140625
ES2006a,0.2126436781609195,0.046242774566473986,0.12643678160919541
ES2006b,0.18181818181818182,0.04,0.09659090909090907
ES2008a,0.17204301075268816,0.043243243243243246,0.1075268817204301
